Oin	 Midblock Route	 Side 1 Route	 Side 2 Route	 Activation Date	 Latitude	 Longitude	 Count Date	 8HrVehVol	 8HrPedVol
 201	 KING ST W		 BATHURST ST		 15-Jun-1928	 43.644	 -79.40267	 4/11/15	 15742	 9020
 219	 CHAPLIN CRES		 ROSELAWN AVE		 01-Jan-1967	 43.706	 -79.423936	 6/8/15	 8121	 751
 248	 DUNDAS ST E		 PARLIAMENT ST		 07-Apr-1939	 43.659	 -79.365987	 4/18/15	 11666	 6698
 258	 DUNDAS ST E		 SHERBOURNE ST		 21-Dec-1927	 43.658	 -79.371	 4/13/15	 11697	 5541
 263	 FRONT ST W		 SIMCOE ST	 LOWER SIMCOE ST	 13-May-1960	 43.645	 -79.384981	 6/16/15	 11290	 31351
 265	 DUNDAS ST W		 MC CAUL ST		 12-Feb-1952	 43.654	 -79.391437	 4/13/15	 10100	 11071
 268	 RICHMOND ST W		 PETER ST		 14-Dec-1965	 43.648	 -79.393259	 8/18/15	 9004	 7477
 270	 ADELAIDE ST W		 PETER ST		 11-Dec-1963	 43.647	 -79.392799	 8/18/15	 10387	 9463
 273	 SPADINA AVE		 KING ST W		 14-Jun-1928	 43.645	 -79.395002	 1/22/15	 18148	 19438
 277	 SPADINA AVE		 DUNDAS ST W		 09-Sep-1929	 43.653	 -79.398015	 4/11/15	 11107	 26960
 283	 DUNDAS ST E		 COXWELL AVE		 28-Aug-1953	 43.669	 -79.3175222	 4/13/15	 11544	 1007
 284	 DUNDAS ST E		 WOODFIELD RD		 30-May-1955	 43.668	 -79.322316	 4/2/15	 8142	 834
 285	 DUNDAS ST E		 GREENWOOD AVE		 22-Jun-1954	 43.668	 -79.326601	 4/13/15	 11219	 1168
 287	 DUNDAS ST E		 JONES AVE		 23-Aug-1954	 43.666	 -79.334282	 4/2/15	 12020	 1377
 288	 DUNDAS ST E		 PAPE AVE		 30-May-1955	 43.665	 -79.339234	 4/2/15	 10320	 1072
 289	 DUNDAS ST E		 CARLAW AVE		 17-Jan-1955	 43.665	 -79.341597	 4/13/15	 13161	 1241
 290	 DUNDAS ST E		 LOGAN AVE		 26-Oct-1955	 43.664	 -79.343869	 4/7/15	 9975	 821
 291	 DUNDAS ST E		 BOULTON AVE		 26-Aug-1958	 43.663	 -79.348202	 4/2/15	 9276	 1155
 292	 BROADVIEW AVE		 DUNDAS ST E		 14-Oct-1948	 43.662	 -79.351357	 4/13/15	 11422	 2259
 293	 DUNDAS ST E		 RIVER ST		 13-Mar-1953	 43.661	 -79.358131	 4/13/15	 14073	 1407
 294	 DANFORTH AVE		 BROADVIEW AVE		 16-Jul-1928	 43.676	 -79.358828	 4/25/15	 20973	 10278
 296	 BATHURST ST		 QUEEN ST W		 15-Jun-1928	 43.647	 -79.403991	 4/11/15	 14741	 19595
 297	 BATHURST ST		 FRONT ST W		 27-Oct-1950	 43.641	 -79.401378	 4/11/15	 13833	 2556
 298	 BATHURST ST		 RICHMOND ST W		 10-Mar-1961	 43.646	 -79.403717	 8/18/15	 11748	 3918
 300	 COLLEGE ST		 BATHURST ST		 31-Jan-1928	 43.656	 -79.407705	 4/11/15	 14329	 8776
 303	 BATHURST ST		 HARBORD ST		 09-Mar-1929	 43.662	 -79.409748	 4/18/15	 15337	 3012
 305	 BATHURST ST		 DUPONT ST		 06-Mar-1939	 43.673	 -79.414344	 4/11/15	 20173	 1975
 306	 BATHURST ST		 NINA ST		 10-May-1949	 43.68	 -79.41699	 4/1/15	 17065	 840
 307	 BATHURST ST		 LONSDALE RD	 CLAXTON BLVD	 01-Jan-1955	 43.687	 -79.419939	 4/7/15	 17157	 508
 308	 BATHURST ST		 BURTON RD	 STRATHEARN RD	 03-Apr-1960	 43.692	 -79.421873	 4/1/15	 19676	 345
 310	 BATHURST ST		 BRIAR HILL AVE		 01-Jan-1967	 43.708	 -79.427022	 4/1/15	 20567	 572
 311	 BATHURST ST		 VIEWMOUNT AVE		 09-Jun-1962	 43.71	 -79.427686	 3/31/15	 18617	 924
 312	 BATHURST ST		 GLENCAIRN AVE		 10-Jan-1956	 43.712	 -79.428131	 4/11/15	 15498	 1482
 313	 BATHURST ST		 SHELBOURNE AVE		 22-Oct-1962	 43.716	 -79.428973	 3/31/15	 19333	 1139
 314	 BATHURST ST		 SARANAC BLVD		 18-Sep-1961	 43.723	 -79.430627	 3/31/15	 17368	 687
 316	 BATHURST ST		 RANEE AVE		 08-Apr-1970	 43.727	 -79.431513	 4/11/15	 12621	 666
 317	 BATHURST ST		 NEPTUNE DR		 31-Jan-1958	 43.732	 -79.432603	 2/26/15	 18391	 991
 320	 BATHURST ST		 WILSON AVE		 14-Sep-1956	 43.737	 -79.434006	 3/28/15	 25136	 6296
 321	 BLOOR ST W		 BATHURST ST		 07-Apr-1928	 43.665	 -79.411205	 4/11/15	 15756	 20464
 327	 DUNDAS ST W		 BLOOR ST W		 07-Mar-1928	 43.656	 -79.452406	 4/11/15	 19755	 5303
 342	 DANFORTH AVE		 CHESTER AVE		 06-Jan-1976	 43.678	 -79.351941	 5/12/15	 10312	 4132
 343	 DANFORTH AVE		 LOGAN AVE		 14-Jul-1928	 43.678	 -79.349668	 5/12/15	 11526	 6884
 345	 DANFORTH AVE		 PAPE AVE		 13-Jul-1928	 43.679	 -79.344862	 5/12/15	 16303	 13100
 346	 DANFORTH AVE		 JONES AVE		 19-Mar-1945	 43.68	 -79.340118	 5/12/15	 13163	 2832
 347	 DANFORTH AVE		 DONLANDS AVE		 19-Aug-1953	 43.68	 -79.33727	 5/7/15	 13674	 4429
 348	 DANFORTH AVE		 GREENWOOD AVE		 07-Dec-1928	 43.681	 -79.33234	 5/7/15	 15446	 3536
 349	 DANFORTH AVE		 COXWELL AVE		 07-Nov-1928	 43.683	 -79.323565	 5/7/15	 19534	 7267
 351	 DANFORTH AVE		 WOODBINE AVE		 07-Oct-1928	 43.686	 -79.312749	 4/25/15	 21642	 10131
 352	 DANFORTH AVE		 GLEDHILL AVE	 PATRICIA DR	 27-Jan-1953	 43.687	 -79.308555	 5/7/15	 12852	 1663
 353	 MAIN ST		 DANFORTH AVE		 07-May-1928	 43.688	 -79.301805	 5/9/15	 15646	 7102
 355	 DANFORTH AVE		 VICTORIA PARK AVE		 31-Jan-1958	 43.691	 -79.288311	 5/9/15	 21459	 5470
 357	 DANFORTH AVE		 DANFORTH RD		 03-Jan-1965	 43.694	 -79.277105	 5/9/15	 10767	 144
 358	 DANFORTH AVE		 WARDEN AVE		 01-Jan-1957	 43.694	 -79.273638	 5/6/15	 16187	 488
 359	 DANFORTH AVE		 BIRCHMOUNT RD		 31-Jan-1958	 43.697	 -79.26399	 5/9/15	 10152	 230
 365	 GERRARD ST E		 WOODBINE AVE		 01-Mar-1948	 43.681	 -79.31078	 4/25/15	 19841	 1784
 373	 GERRARD ST E		 LOGAN AVE		 05-May-1952	 43.667	 -79.345175	 7/30/15	 9363	 2688
 375	 DANFORTH RD		 KENNEDY RD		 02-Nov-1964	 43.715	 -79.260862	 4/23/15	 11783	 124
 376	 DANFORTH RD		 MACK AVE		 02-Mar-1965	 43.7	 -79.27272	 6/8/15	 8898	 164
 378	 DANFORTH RD		 BRIMLEY RD		 20-Sep-1960	 43.735	 -79.247409	 7/22/15	 16913	 265
 380	 LAWRENCE AVE E		 MCCOWAN RD		 11-Feb-1960	 43.756	 -79.245446	 5/2/15	 28053	 2239
 384	 BATHURST ST		 DAVENPORT RD		 28-Aug-1929	 43.677	 -79.415765	 4/11/15	 20361	 657
 391	 OLD WESTON RD		 DAVENPORT RD		 06-Dec-1959	 43.671	 -79.462297	 4/23/15	 8478	 144
 392	 ST CLAIR AVE E		 DANFORTH RD		 24-Oct-1961	 43.717	 -79.259873	 4/28/15	 20947	 371
 394	 ROGERS RD		 KEELE ST		 31-Jan-1958	 43.682	 -79.471576	 4/22/15	 14539	 2874
 409	 LAWRENCE AVE E		 WARDEN AVE		 31-Jan-1958	 43.745	 -79.29475	 5/6/15	 36985	 2352
 410	 LAWRENCE AVE E		 BIRCHMOUNT RD		 03-Feb-1969	 43.748	 -79.28482	 7/29/15	 30952	 1165
 417	 DANFORTH RD		 BIRCHMOUNT RD		 16-Jul-1969	 43.707	 -79.26811	 4/30/15	 15487	 960
 418	 DANFORTH RD		 WARDEN AVE		 31-Jan-1958	 43.697	 -79.27481	 5/6/15	 15485	 385
 423	 BATHURST ST		 LAWRENCE AVE W		 09-Jun-1956	 43.719	 -79.42976	 4/11/15	 22429	 3429
 426	 DUFFERIN ST		 LAWRENCE AVE W		 31-Jan-1958	 43.714	 -79.4547	 9/17/15	 30202	 4568
 446	 O CONNOR DR		 WOODBINE AVE		 31-Jan-1958	 43.7	 -79.31905	 4/25/15	 31011	 406
 456	 EGLINTON AVE E		 WARDEN AVE		 17-Nov-1955	 43.728	 -79.28761	 5/6/15	 35905	 1947
 477	 DANFORTH AVE		 PLAYTER BLVD		 22-Dec-1976	 43.677	 -79.35508	 5/12/15	 9921	 3294
 480	 ST CLAIR AVE W		 BATHURST ST		 27-Aug-1928	 43.683	 -79.41828	 4/11/15	 22508	 7838
 483	 DUNDAS ST W		 CHESTNUT ST		 31-Dec-1964	 43.655	 -79.38599	 4/13/15	 10171	 17916
 489	 ST CLAIR AVE W		 LANSDOWNE AVE		 30-Aug-1929	 43.676	 -79.45058	 8/12/15	 9082	 3079
 490	 ST CLAIR AVE W		 CALEDONIA RD	 CALEDONIA PARK RD	 20-Oct-1948	 43.675	 -79.45476	 4/23/15	 17142	 1496
 491	 ST CLAIR AVE W		 SILVERTHORN AVE	 HOUNSLOW HEATH RD	 18-Sep-1950	 43.674	 -79.46	 4/23/15	 9576	 1341
 492	 ST CLAIR AVE W		 OLD WESTON RD		 31-Jul-1941	 43.674	 -79.46302	 4/23/15	 16915	 2020
 493	 ST CLAIR AVE W		 KEELE ST	 WESTON RD	 21-Dec-1939	 43.673	 -79.46762	 4/22/15	 23692	 3203
 496	 DUNDAS ST W		 SCARLETT RD		 31-Jan-1958	 43.666	 -79.49919	 4/18/15	 17517	 320
 505	 BATHURST ST		 AVA RD		 01-Jan-1967	 43.698	 -79.424341	 4/1/15	 16511	 282
 506	 BATHURST ST		 WARWICK AVE		 01-Jan-1967	 43.695	 -79.42322	 4/1/15	 15207	 339
 535	 STEELES AVE W		 JANE ST		 24-Aug-1967	 43.775	 -79.52168	 5/13/15	 33610	 1910
 537	 KING ST W		 NIAGARA ST		 12-Jan-1961	 43.643	 -79.40767	 4/2/15	 11450	 2931
 548	 QUEEN ST E		 WOODBINE AVE		 25-Oct-1955	 43.669	 -79.3058	 4/25/15	 21648	 5864
 563	 THE QUEENSWAY		 STEPHEN DR		 01-Jan-1957	 43.63	 -79.48422	 1/15/15	 19684	 230
 576	 KEELE ST		 ANNETTE ST		 16-Oct-1952	 43.664	 -79.46375	 4/21/15	 17195	 933
 602	 STEELES AVE W		 KEELE ST		 21-Feb-1968	 43.782	 -79.494495	 5/13/15	 39154	 1414
 605	 COLLEGE ST		 DUFFERIN ST		 19-Nov-1948	 43.653	 -79.432536	 8/10/15	 15553	 3738
 620	 DON MILLS RD		 OVERLEA BLVD	 GATEWAY BLVD	 14-Jan-1978	 43.71	 -79.334385	 5/20/15	 32000	 6014
 630	 WILSON AVE		 WILSON HEIGHTS BLVD	 TIPPET RD	 31-Jan-1958	 43.735	 -79.4472	 4/7/15	 19449	 821
 640	 DUNDAS ST W		 SORAUREN AVE		 05-Apr-1969	 43.651	 -79.445285	 6/8/15	 13636	 608
 660	 WOODBINE AVE		 LUMSDEN AVE	 MORTIMER AVE	 31-Jan-1958	 43.693	 -79.315855	 4/25/15	 16749	 1158
 670	 BATHURST ST		 INVERMAY AVE		 29-Dec-1965	 43.741	 -79.43502	 4/7/15	 15664	 748
 671	 BATHURST ST		 YORK DOWNS DR		 18-Nov-1958	 43.747	 -79.436456	 3/23/15	 18000	 462
 673	 BATHURST ST	 335m SOUTH OF	 ELLERSLIE AVE	 PRIVATE ACCESS	 27-Jul-1961	 43.762	 -79.440171	 4/1/15	 12940	 935
 674	 BATHURST ST		 HORSHAM AVE	 BLUE FLAG GT	 01-Jun-1965	 43.769	 -79.441657	 3/23/15	 17483	 170
 675	 BATHURST ST		 FINCH AVE W		 20-Mar-1962	 43.774	 -79.442978	 3/28/15	 30852	 3320
 676	 BATHURST ST		 DREWRY AVE	 ANTIBES DR	 08-Oct-1966	 43.781	 -79.44481	 3/23/15	 25127	 1614
 677	 BATHURST ST		 ROCKFORD RD	 DEWLANE DR	 29-Dec-1966	 43.786	 -79.446008	 3/23/15	 21721	 1193
 678	 STEELES AVE W		 BATHURST ST		 02-Feb-1966	 43.792	 -79.445714	 3/23/15	 36119	 3202
 681	 LAIRD DR		 MCRAE DR	 WICKSTEED AVE	 01-Jan-1957	 43.71	 -79.363498	 1/14/15	 16676	 431
 689	 WARDEN AVE		 FIRVALLEY CRT		 23-Dec-1965	 43.704	 -79.27748	 5/6/15	 8457	 821
 697	 ELLESMERE RD		 MIDLAND AVE		 28-Dec-1965	 43.768	 -79.27111	 7/16/15	 31022	 1667
 699	 MCCOWAN RD		 ELLESMERE RD		 31-Dec-1965	 43.772	 -79.25149	 5/2/15	 29600	 1601
 706	 DUNDAS ST W		 ISLINGTON AVE		 31-Mar-1960	 43.651	 -79.52639	 4/18/15	 25246	 625
 721	 WESTON RD		 MCCORMACK ST	 PRIVATE ACCESS	 18-Sep-1969	 43.677	 -79.47187	 4/22/15	 16442	 270
 729	 EGLINTON AVE W		 KIPLING AVE		 01-Jan-1962	 43.677	 -79.5509	 9/15/15	 31302	 1176
 731	 KIPLING AVE		 BELFIELD RD		 10-Jul-1968	 43.705	 -79.56347	 5/19/15	 20664	 235
 732	 REXDALE BLVD		 KIPLING AVE		 31-Jan-1958	 43.712	 -79.5667	 5/15/15	 32041	 1658
 753	 LESLIE ST		 401 C W LESLIE ST RAMP		 06-Mar-1968	 43.767	 -79.36365	 5/20/15	 36440	 141
 760	 WARDEN AVE		 401 C W WARDEN AV RAMP		 22-Aug-1966	 43.772	 -79.3048993	 5/5/15	 31051	 14
 761	 WARDEN AVE		 401 C E WARDEN AV S RAMP		 06-Jul-1968	 43.769	 -79.30366	 5/5/15	 31679	 13
 765	 KIPLING AVE		 EVANS AVE		 19-Jan-1961	 43.616	 -79.52461	 5/20/15	 27591	 1056
 769	 ST CLAIR AVE W		 NORTHCLIFFE BLVD		 23-Jun-1981	 43.678	 -79.44084	 8/12/15	 7611	 2837
 777	 DUNDAS ST W		 BURNHAMTHORPE RD	 CORDOVA AVE	 04-Jun-1959	 43.649	 -79.52873	 4/18/15	 15473	 2256
 781	 EGLINTON AVE W		 ROYAL YORK RD		 01-Jan-1959	 43.682	 -79.52656	 6/4/15	 29589	 564
 790	 REXDALE BLVD		 MARTIN GROVE RD		 12-Mar-1963	 43.714	 -79.58106	 1/14/15	 24168	 299
 814	 WILSON AVE		 HWY 401 WB OFF RAMP		 23-Nov-1964	 43.737	 -79.43785	 6/15/15	 15426	 655
 818	 EASTERN AVE		 LOGAN AVE		 10-Aug-1953	 43.658	 -79.341377	 8/17/15	 10832	 609
 824	 WOODBINE AVE		 CORLEY AVE	 EASTWOOD RD	 14-Dec-1955	 43.676	 -79.30894	 4/2/15	 10426	 698
 831	 COLLEGE ST		 LANSDOWNE AVE		 14-Oct-1948	 43.651	 -79.44002	 6/8/15	 13586	 2375
 841	 DUPONT ST		 CHRISTIE ST		 04-Jan-1946	 43.672	 -79.42156	 9/8/15	 15775	 1568
 845	 DUPONT ST		 SYMINGTON AVE		 31-May-1950	 43.666	 -79.45126	 4/22/15	 13748	 1529
 860	 ST CLAIR AVE W		 DEER PARK CRES		 18-Sep-1969	 43.687	 -79.398	 8/24/15	 11639	 6520
 888	 KIPLING AVE		 KINGSVIEW BLVD		 26-Feb-1970	 43.697	 -79.55984	 5/19/15	 13903	 310
 903	 DUNDAS ST E		 SUMACH ST		 14-Aug-1970	 43.661	 -79.36046	 4/13/15	 8486	 1513
 914	 WARDEN AVE		 MANHATTAN DR		 12-Oct-1970	 43.752	 -79.29739	 5/5/15	 19109	 230
 918	 BATHURST ST		 VESTA DR	 RIDGE HILL DR	 23-Dec-1970	 43.703	 -79.4259	 4/1/15	 15765	 1016
 938	 SHEPPARD AVE E		 MCCOWAN RD		 14-Jul-1971	 43.79	 -79.25883	 5/2/15	 34425	 2423
 939	 MCCOWAN RD		 401 C W MCCOWAN RD S RAMP		 21-Jul-1971	 43.783	 -79.2554516	 5/2/15	 38670	 206
 940	 MCCOWAN RD		 CONSILIUM PL	 401 C E MCCOWAN RD RAMP	 21-Jul-1971	 43.78	 -79.254112	 5/2/15	 34231	 99
 944	 DANFORTH AVE		 MONARCH PARK AVE		 17-Nov-1971	 43.683	 -79.32714	 5/7/15	 11318	 1972
 950	 BURNHAMTHORPE RD		 427 C S RATHBURN E RAMP		 29-Sep-1971	 43.645	 -79.5651499	 5/20/15	 26578	 147
 951	 MCCOWAN RD		 BRIMORTON DR		 15-Sep-1971	 43.765	 -79.24894	 4/29/15	 18068	 319
 959	 KENNEDY RD		 WICKWARE GT	 PRIVATE ACCESS	 30-Dec-1971	 43.753	 -79.27629	 8/5/15	 19566	 416
 979	 BATHURST ST		 CARSCADDEN DR	 ELLERSLIE AVE	 16-Jun-1972	 43.765	 -79.44087	 3/23/15	 18638	 275
 981	 BATHURST ST		 BAYCREST AVE		 16-May-1973	 43.73	 -79.43213	 3/31/15	 18651	 1584
 996	 MCCOWAN RD		 ST ANDREWS RD		 22-May-1973	 43.76	 -79.246861	 4/29/15	 15117	 159
 1034	 PHARMACY AVE		 TEESDALE PL		 25-Jan-1974	 43.697	 -79.28537	 6/15/15	 5145	 711
 1035	 FINCH AVE E		 WARDEN AVE		 05-Feb-1974	 43.797	 -79.31576	 5/5/15	 27622	 5416
 1048	 DANFORTH AVE		 LINNSMORE CRES		 15-Jun-1974	 43.682	 -79.32975	 5/7/15	 9904	 3348
 1051	 KENNEDY RD		 MERRIAN RD	 PRIVATE ACCESS	 06-May-1974	 43.727	 -79.26589	 7/21/15	 9064	 1701
 1057	 KENNEDY RD		 BERTRAND AVE		 23-Jul-1974	 43.737	 -79.27011	 7/23/15	 14179	 700
 1068	 KEELE ST		 JUNCTION RD		 18-Jul-1973	 43.668	 -79.46554	 4/22/15	 15871	 333
 1087	 ST CLAIR AVE W		 LAUGHTON AVE		 12-Sep-1974	 43.675	 -79.45767	 4/23/15	 9478	 1265
 1117	 DUNDAS ST E		 MUNRO ST		 08-Dec-1975	 43.662	 -79.35307	 4/2/15	 9504	 764
 1129	 BATHURST ST		 LAURELCREST AVE	 RAEBURN AVE	 27-Jun-1974	 43.744	 -79.43569	 3/23/15	 16394	 530
 1155	 STEELES AVE W		 NORFINCH DR	 400 N FINCH W RAMP	 21-Nov-1975	 43.773	 -79.5318	 5/13/15	 24513	 218
 1168	 BATHURST ST		 CODSELL AVE		 17-Jun-1981	 43.759	 -79.43924	 3/23/15	 18845	 224
 1175	 MCCOWAN RD		 CHANNEL NINE CRT	 MILNER AVE	 14-Jul-1976	 43.785	 -79.25652	 4/29/15	 33357	 743
 1176	 FINCH AVE E		 MCCOWAN RD		 04-Aug-1976	 43.808	 -79.26645	 5/2/15	 20529	 3724
 1177	 FINCH AVE E		 SANDHURST CRCL		 09-Jan-1978	 43.807	 -79.27039	 6/1/15	 15835	 2056
 1192	 STEELES AVE E		 KENNEDY RD		 12-May-1975	 43.824	 -79.30705	 5/23/15	 36162	 3170
 1194	 BATHURST ST		 BAINBRIDGE AVE	 RAOUL WALLENBERG	 18-Nov-1977	 43.751	 -79.43733	 3/23/15	 17288	 485
 1211	 KIPLING AVE		 BETHRIDGE RD	 PRIVATE ACCESS	 21-Dec-1977	 43.709	 -79.5655	 5/19/15	 15334	 267
 1214	 STEELES AVE W		 FOUNDERS RD		 19-Oct-1978	 43.779	 -79.50432	 5/13/15	 22202	 233
 1230	 STEELES AVE W		 HIDDEN TRL	 CONLEY ST	 21-Dec-1979	 43.789	 -79.46326	 5/13/15	 23916	 600
 1232	 STEELES AVE W		 SIGNET DR	 WESTON RD	 05-Mar-1976	 43.771	 -79.54343	 5/13/15	 19719	 736
 1243	 MCCOWAN RD		 HUNTINGWOOD DR	 MIDDLEFIELD RD	 26-May-1976	 43.799	 -79.262554	 5/2/15	 22286	 143
 1256	 STEELES AVE W		 KIPLING AVE		 21-Nov-1979	 43.76	 -79.5899	 5/18/15	 22401	 1133
 1260	 STEELES AVE E		 MIDLAND AVE		 11-Jan-1978	 43.826	 -79.29731	 5/23/15	 21533	 1735
 1263	 WARDEN AVE		 BRIDLETOWNE CRCL		 21-May-1980	 43.801	 -79.3187396	 5/5/15	 16630	 1286
 1264	 STEELES AVE E		 SILVER STAR BLVD	 OLD KENNEDY RD	 30-Jun-1975	 43.825	 -79.30007	 5/2/15	 26409	 3283
 1267	 DANFORTH AVE		 WESTLAKE AVE		 10-Feb-1978	 43.687	 -79.3051	 5/7/15	 11931	 1366
 1281	 DANFORTH AVE		 EAST LYNN AVE	 WOODMOUNT AVE	 16-Jun-1980	 43.685	 -79.31525	 5/7/15	 10799	 3094
 1287	 WARDEN AVE		 MCNICOLL AVE		 15-Jul-1980	 43.806	 -79.32095	 5/5/15	 24583	 817
 1294	 PHARMACY AVE		 DENTON AVE		 29-Jun-1978	 43.694	 -79.2840684	 6/15/15	 5109	 833
 1304	 DAVENPORT RD		 SYMINGTON AVE		 07-Jun-1979	 43.671	 -79.45323	 4/23/15	 9648	 898
 1305	 DUNDAS ST W		 RONCESVALLES AVE		 29-Dec-1975	 43.654	 -79.45181	 4/11/15	 8966	 2818
 1350	 DUNDAS ST W		 AUKLAND RD		 21-Nov-1980	 43.639	 -79.538	 5/20/15	 23209	 1458
 1356	 MCCOWAN RD		 BUSHBY DR	 TOWN CENTRE CRT	 10-May-1984	 43.775	 -79.2523	 5/2/15	 22382	 1082
 1363	 STEELES AVE E		 BIRCHMOUNT RD		 09-Sep-1980	 43.821	 -79.31693	 5/23/15	 27991	 574
 1370	 ROYAL YORK RD	 45m NORTH OF	 STRATH HUMBER CRT	 PRIVATE ACCESS	 27-Sep-1977	 43.662	 -79.51777	 6/4/15	 13594	 413
 1372	 MCCOWAN RD		 SANDHURST CRCL		 17-May-1984	 43.812	 -79.269196	 5/4/15	 15557	 1466
 1377	 WARDEN AVE		 ASHTONBEE RD		 12-Jun-1976	 43.731	 -79.28876	 5/6/15	 23270	 983
 1380	 FINCH AVE E		 SANDHURST CRCL		 02-Feb-1983	 43.809	 -79.26276	 6/8/15	 12405	 332
 1383	 STEELES AVE W		 PETROLIA RD	 TANDEM RD	 31-May-1984	 43.783	 -79.49012	 5/13/15	 27549	 484
 1396	 KENNEDY RD		 PASSMORE AVE	 PURCELL SQ	 08-Dec-1981	 43.818	 -79.304727	 5/23/15	 20817	 496
 1398	 MCCOWAN RD		 SANDHURST CRCL		 09-Mar-1981	 43.805	 -79.26531	 4/30/15	 16272	 544
 1399	 BATHURST ST		 GREENWIN VILLAGE RD	 PRIVATE ACCESS	 17-Sep-1981	 43.791	 -79.44537	 3/23/15	 18326	 1194
 1404	 ST CLAIR AVE W		 GUNNS RD	 OLD STOCK YARDS RD	 25-Nov-1981	 43.672	 -79.4711048	 4/22/15	 13948	 974
 1414	 STEELES AVE W		 BLACK HAWKWAY	 NEW WESTMINSTER DR	 20-Jan-1982	 43.79	 -79.45762	 5/13/15	 23038	 709
 1417	 FRONT ST W		 JOHN ST	 PRIVATE ACCESS	 03-Mar-1982	 43.644	 -79.38873	 4/20/15	 9921	 13919
 1434	 WESTON RD		 NORTHLAND AVE	 PRIVATE ACCESS	 13-Sep-1982	 43.679	 -79.47408	 4/22/15	 16934	 446
 1469	 WARDEN AVE		 TOWER DR		 14-Oct-1983	 43.754	 -79.298383	 5/5/15	 19205	 240
 1475	 DANFORTH AVE		 WOODINGTON AVE		 02-Jan-1984	 43.684	 -79.32086	 5/7/15	 10390	 3336
 1485	 MCCOWAN RD		 TRITON RD		 22-Mar-1985	 43.776	 -79.25266	 4/29/15	 19540	 233
 1488	 ADELAIDE ST W		 PORTLAND ST		 07-Nov-1985	 43.646	 -79.4006	 8/26/15	 7345	 2694
 1491	 STEELES AVE E		 BRIMLEY RD		 10-Mar-1985	 43.828	 -79.28718	 5/2/15	 19874	 869
 1492	 STEELES AVE E		 MCCOWAN RD		 31-Oct-1985	 43.831	 -79.27516	 5/4/15	 26842	 1919
